resample_index,bootstrap_kappa
0,0.8607
1,0.9547
2,0.8634
3,0.8539
4,0.8636
5,0.906
6,0.9085
7,0.954
8,0.9062
9,0.8653
10,0.7329
11,0.9548
12,0.8574
13,0.8622
14,0.6861
15,0.9077
16,0.898
17,0.9551
18,0.7768
19,0.9029
20,0.8659
21,0.863
22,0.8602
23,0.8171
24,0.8645
25,1.0
26,0.9552
27,0.9071
28,0.9094
29,0.9096
30,0.9088
31,0.9077
32,0.7653
33,0.8585
34,0.8165
35,0.8555
36,0.9102
37,0.9094
38,0.9502
39,0.8537
40,0.8611
41,0.8655
42,0.864
43,0.9545
44,0.6837
45,0.8052
46,0.8649
47,0.8125
48,0.8585
49,0.8176
50,0.9077
51,0.9554
52,0.6714
53,0.76
54,0.9057
55,0.7699
56,0.8225
57,0.8193
58,0.9042
59,0.9507
60,0.906
61,0.9042
62,0.86
63,0.8171
64,0.8125
65,0.8083
66,0.9495
67,0.9507
68,0.823
69,0.8148
70,0.7717
71,0.9091
72,0.6828
73,0.7604
74,0.8634
75,0.823
76,0.7738
77,0.8209
78,0.9545
79,0.9546
80,0.908
81,0.8663
82,0.8198
83,0.9077
84,0.863
85,0.9065
86,0.7696
87,0.953
88,0.8665
89,0.9502
90,0.8655
91,0.9543
92,0.7297
93,0.864
94,0.8515
95,0.8653
96,0.7581
97,0.8665
98,0.8624
99,1.0
100,0.8171
101,0.7656
102,0.8527
103,0.7345
104,0.7674
105,1.0
106,0.8214
107,0.8214
108,0.7667
109,0.9502
110,0.8626
111,0.7196
112,0.8
113,0.7754
114,0.8661
115,0.8986
116,0.7222
117,0.8609
118,0.9054
119,0.8553
120,0.8142
121,0.9088
122,0.8193
123,0.8182
124,0.9065
125,0.9099
126,0.8137
127,0.8176
128,0.8565
129,0.8204
130,1.0
131,0.9077
132,0.7713
133,0.8198
134,0.9045
135,0.7231
136,0.8071
137,0.9511
138,0.954
139,0.9062
140,0.9077
141,0.8214
142,1.0
143,0.6719
144,0.7924
145,0.8154
146,0.8613
147,0.8615
148,0.8209
149,0.6866
150,0.9492
151,0.8634
152,0.9054
153,0.8638
154,0.9102
155,0.9543
156,0.8558
157,0.9534
158,0.9545
159,0.8602
160,0.7638
161,1.0
162,0.8613
163,0.9091
164,0.9016
165,0.9104
166,0.9543
167,0.7692
168,0.9503
169,0.8125
170,0.7458
171,0.9486
172,0.9065
173,0.9042
174,0.8071
175,0.9099
176,0.9085
177,0.9085
178,0.9107
179,0.9013
180,0.9057
181,0.9541
182,0.9032
183,0.8651
184,0.8381
185,0.7297
186,0.8632
187,0.8546
188,0.9104
189,0.9096
190,0.9538
191,0.955
192,0.9068
193,0.8609
194,0.8187
